Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,,,win team,lose team,Wloc
Wed Nov 9 2016,7:00 PM,Utah Jazz,98,Charlotte Hornets,104,Box Score,,15712,,,-6,,Charlotte Hornets,Utah Jazz,H
Wed Nov 9 2016,10:30 PM,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,19596,,,-21,,Golden State Warriors,Dallas Mavericks,H
Wed Nov 9 2016,7:00 PM,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,15360,,,-7,,Indiana Pacers,Philadelphia 76ers,H
Wed Nov 9 2016,10:30 PM,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,19060,,,-31,,Los Angeles Clippers,Portland Trail Blazers,H
Wed Nov 9 2016,7:00 PM,Brooklyn Nets,96,New York Knicks,110,Box Score,,19812,,,-14,,New York Knicks,Brooklyn Nets,H
Wed Nov 9 2016,8:00 PM,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,18203,,,10,,Toronto Raptors,Oklahoma City Thunder,V
Wed Nov 9 2016,7:00 PM,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,17102,,,16,,Minnesota Timberwolves,Orlando Magic,V
Wed Nov 9 2016,9:00 PM,Detroit Pistons,100,Phoenix Suns,107,Box Score,,16719,,,-7,,Phoenix Suns,Detroit Pistons,H
Wed Nov 9 2016,9:30 PM,Houston Rockets,101,San Antonio Spurs,99,Box Score,,18418,,,2,,Houston Rockets,San Antonio Spurs,V
Wed Nov 9 2016,7:00 PM,Boston Celtics,93,Washington Wizards,118,Box Score,,12675,,,-25,,Washington Wizards,Boston Celtics,H
Thu Nov 10 2016,9:00 PM,Golden State Warriors,125,Denver Nuggets,101,Box Score,,17569,,,24,,Golden State Warriors,Denver Nuggets,V
Thu Nov 10 2016,8:00 PM,Chicago Bulls,98,Miami Heat,95,Box Score,,19600,,,3,,Chicago Bulls,Miami Heat,V
Thu Nov 10 2016,8:00 PM,New Orleans Pelicans,112,Milwaukee Bucks,106,Box Score,,12159,,,6,,New Orleans Pelicans,Milwaukee Bucks,V
Thu Nov 10 2016,10:30 PM,Los Angeles Lakers,101,Sacramento Kings,91,Box Score,,17608,,,10,,Los Angeles Lakers,Sacramento Kings,V
Fri Nov 11 2016,7:30 PM,New York Knicks,87,Boston Celtics,115,Box Score,,18624,,,-28,,Boston Celtics,New York Knicks,H
Fri Nov 11 2016,7:00 PM,Toronto Raptors,113,Charlotte Hornets,111,Box Score,,18107,,,2,,Toronto Raptors,Charlotte Hornets,V
Fri Nov 11 2016,8:00 PM,Los Angeles Clippers,110,Oklahoma City Thunder,108,Box Score,,18203,,,2,,Los Angeles Clippers,Oklahoma City Thunder,V
Fri Nov 11 2016,7:00 PM,Utah Jazz,87,Orlando Magic,74,Box Score,,18846,,,13,,Utah Jazz,Orlando Magic,V
Fri Nov 11 2016,7:00 PM,Indiana Pacers,105,Philadelphia 76ers,109,Box Score,OT,17643,,,-4,,Philadelphia 76ers,Indiana Pacers,H
Fri Nov 11 2016,10:00 PM,Sacramento Kings,120,Portland Trail Blazers,122,Box Score,OT,19918,,,-2,,Portland Trail Blazers,Sacramento Kings,H
Fri Nov 11 2016,8:30 PM,Detroit Pistons,86,San Antonio Spurs,96,Box Score,,18418,,,-10,,San Antonio Spurs,Detroit Pistons,H
Fri Nov 11 2016,7:00 PM,Cleveland Cavaliers,105,Washington Wizards,94,Box Score,,20356,,,11,,Cleveland Cavaliers,Washington Wizards,V
Sat Nov 12 2016,7:30 PM,Philadelphia 76ers,96,Atlanta Hawks,117,Box Score,,17399,,,-21,,Atlanta Hawks,Philadelphia 76ers,H
Sat Nov 12 2016,8:00 PM,Washington Wizards,95,Chicago Bulls,106,Box Score,,21962,,,-11,,Chicago Bulls,Washington Wizards,H
Sat Nov 12 2016,9:00 PM,Detroit Pistons,106,Denver Nuggets,95,Box Score,,13997,,,11,,Detroit Pistons,Denver Nuggets,V
Sat Nov 12 2016,8:00 PM,San Antonio Spurs,106,Houston Rockets,100,Box Score,,18055,,,6,,San Antonio Spurs,Houston Rockets,V
Sat Nov 12 2016,7:00 PM,Boston Celtics,105,Indiana Pacers,99,Box Score,,17923,,,6,,Boston Celtics,Indiana Pacers,V
Sat Nov 12 2016,8:00 PM,Utah Jazz,102,Miami Heat,91,Box Score,,19600,,,11,,Utah Jazz,Miami Heat,V
Sat Nov 12 2016,8:30 PM,Memphis Grizzlies,96,Milwaukee Bucks,106,Box Score,,14327,,,-10,,Milwaukee Bucks,Memphis Grizzlies,H
Sat Nov 12 2016,8:00 PM,Los Angeles Clippers,119,Minnesota Timberwolves,105,Box Score,,14494,,,14,,Los Angeles Clippers,Minnesota Timberwolves,V
Sat Nov 12 2016,7:00 PM,Los Angeles Lakers,126,New Orleans Pelicans,99,Box Score,,17138,,,27,,Los Angeles Lakers,New Orleans Pelicans,V
Sat Nov 12 2016,9:00 PM,Brooklyn Nets,122,Phoenix Suns,104,Box Score,,17126,,,18,,Brooklyn Nets,Phoenix Suns,V
Sat Nov 12 2016,7:30 PM,New York Knicks,107,Toronto Raptors,118,Box Score,,19800,,,-11,,Toronto Raptors,New York Knicks,H
Sun Nov 13 2016,3:30 PM,Charlotte Hornets,93,Cleveland Cavaliers,100,Box Score,,20562,,,-7,,Cleveland Cavaliers,Charlotte Hornets,H
Sun Nov 13 2016,8:00 PM,Phoenix Suns,120,Golden State Warriors,133,Box Score,,19596,,,-13,,Golden State Warriors,Phoenix Suns,H
Sun Nov 13 2016,7:00 PM,Los Angeles Lakers,99,Minnesota Timberwolves,125,Box Score,,14432,,,-26,,Minnesota Timberwolves,Los Angeles Lakers,H
Sun Nov 13 2016,7:00 PM,Orlando Magic,119,Oklahoma City Thunder,117,Box Score,,18203,,,2,,Orlando Magic,Oklahoma City Thunder,V
Sun Nov 13 2016,9:00 PM,Denver Nuggets,105,Portland Trail Blazers,112,Box Score,,19362,,,-7,,Portland Trail Blazers,Denver Nuggets,H
Mon Nov 14 2016,7:30 PM,Oklahoma City Thunder,88,Detroit Pistons,104,Box Score,,14172,,,-16,,Detroit Pistons,Oklahoma City Thunder,H
Mon Nov 14 2016,8:00 PM,Philadelphia 76ers,88,Houston Rockets,115,Box Score,,13183,,,-27,,Houston Rockets,Philadelphia 76ers,H
Mon Nov 14 2016,7:00 PM,Orlando Magic,69,Indiana Pacers,88,Box Score,,14825,,,-19,,Indiana Pacers,Orlando Magic,H
Mon Nov 14 2016,10:30 PM,Brooklyn Nets,95,Los Angeles Clippers,127,Box Score,,19060,,,-32,,Los Angeles Clippers,Brooklyn Nets,H
Mon Nov 14 2016,8:00 PM,Boston Celtics,105,New Orleans Pelicans,106,Box Score,,15001,,,-1,,New Orleans Pelicans,Boston Celtics,H
Mon Nov 14 2016,7:30 PM,Dallas Mavericks,77,New York Knicks,93,Box Score,,19812,,,-16,,New York Knicks,Dallas Mavericks,H
Mon Nov 14 2016,8:30 PM,Miami Heat,90,San Antonio Spurs,94,Box Score,,18418,,,-4,,San Antonio Spurs,Miami Heat,H
Mon Nov 14 2016,9:00 PM,Memphis Grizzlies,102,Utah Jazz,96,Box Score,,18176,,,6,,Memphis Grizzlies,Utah Jazz,V
Tue Nov 15 2016,7:00 PM,Toronto Raptors,117,Cleveland Cavaliers,121,Box Score,,20562,,,-4,,Cleveland Cavaliers,Toronto Raptors,H
Tue Nov 15 2016,10:30 PM,Brooklyn Nets,118,Los Angeles Lakers,125,Box Score,,18426,,,-7,,Los Angeles Lakers,Brooklyn Nets,H
Tue Nov 15 2016,7:30 PM,Atlanta Hawks,93,Miami Heat,90,Box Score,,19600,,,3,,Atlanta Hawks,Miami Heat,V
Tue Nov 15 2016,8:00 PM,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,,10349,,,7,,Charlotte Hornets,Minnesota Timberwolves,V
Tue Nov 15 2016,10:00 PM,Chicago Bulls,113,Portland Trail Blazers,88,Box Score,,19393,,,25,,Chicago Bulls,Portland Trail Blazers,V
Wed Nov 16 2016,7:30 PM,Milwaukee Bucks,100,Atlanta Hawks,107,Box Score,,14656,,,-7,,Atlanta Hawks,Milwaukee Bucks,H
Wed Nov 16 2016,7:30 PM,Dallas Mavericks,83,Boston Celtics,90,Box Score,,18624,,,-7,,Boston Celtics,Dallas Mavericks,H
Wed Nov 16 2016,9:00 PM,Phoenix Suns,104,Denver Nuggets,120,Box Score,,10247,,,-16,,Denver Nuggets,Phoenix Suns,H
Wed Nov 16 2016,7:00 PM,Cleveland Cavaliers,93,Indiana Pacers,103,Box Score,,17022,,,-10,,Indiana Pacers,Cleveland Cavaliers,H
Wed Nov 16 2016,10:30 PM,Memphis Grizzlies,111,Los Angeles Clippers,107,Box Score,,19060,,,4,,Memphis Grizzlies,Los Angeles Clippers,V
Wed Nov 16 2016,7:30 PM,Detroit Pistons,102,New York Knicks,105,Box Score,,19812,,,-3,,New York Knicks,Detroit Pistons,H
Wed Nov 16 2016,8:00 PM,Houston Rockets,103,Oklahoma City Thunder,105,Box Score,,18203,,,-2,,Oklahoma City Thunder,Houston Rockets,H
Wed Nov 16 2016,7:00 PM,New Orleans Pelicans,82,Orlando Magic,89,Box Score,,16127,,,-7,,Orlando Magic,New Orleans Pelicans,H
Wed Nov 16 2016,7:00 PM,Washington Wizards,102,Philadelphia 76ers,109,Box Score,,14863,,,-7,,Philadelphia 76ers,Washington Wizards,H
Wed Nov 16 2016,10:30 PM,San Antonio Spurs,110,Sacramento Kings,105,Box Score,,17608,,,5,,San Antonio Spurs,Sacramento Kings,V
Wed Nov 16 2016,8:00 PM,Golden State Warriors,127,Toronto Raptors,121,Box Score,,21050,,,6,,Golden State Warriors,Toronto Raptors,V
Thu Nov 17 2016,8:00 PM,Portland Trail Blazers,109,Houston Rockets,126,Box Score,,15550,,,-17,,Houston Rockets,Portland Trail Blazers,H
Thu Nov 17 2016,7:30 PM,Milwaukee Bucks,73,Miami Heat,96,Box Score,,19600,,,-23,,Miami Heat,Milwaukee Bucks,H
Thu Nov 17 2016,8:00 PM,Philadelphia 76ers,86,Minnesota Timberwolves,110,Box Score,,16866,,,-24,,Minnesota Timberwolves,Philadelphia 76ers,H
Thu Nov 17 2016,10:30 PM,Chicago Bulls,85,Utah Jazz,77,Box Score,,19911,,,8,,Chicago Bulls,Utah Jazz,V
Thu Nov 17 2016,7:00 PM,New York Knicks,112,Washington Wizards,119,Box Score,,16704,,,-7,,Washington Wizards,New York Knicks,H
Fri Nov 18 2016,8:00 PM,Golden State Warriors,104,Boston Celtics,88,Box Score,,18624,,,16,,Golden State Warriors,Boston Celtics,V
Fri Nov 18 2016,7:00 PM,Atlanta Hawks,96,Charlotte Hornets,100,Box Score,,17989,,,-4,,Charlotte Hornets,Atlanta Hawks,H
