Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Mon Oct 30 2017,7:30 PM,San Antonio Spurs,94,Boston Celtics,108,Box Score,,18624,,,San Antonio Spurs,Boston Celtics
Mon Oct 30 2017,8:00 PM,Philadelphia 76ers,115,Houston Rockets,107,Box Score,,16714,,,Philadelphia 76ers,Houston Rockets
Mon Oct 30 2017,10:30 PM,Golden State Warriors,141,Los Angeles Clippers,113,Box Score,,19068,,,Golden State Warriors,Los Angeles Clippers
Mon Oct 30 2017,8:00 PM,Charlotte Hornets,104,Memphis Grizzlies,99,Box Score,,15771,,,Charlotte Hornets,Memphis Grizzlies
Mon Oct 30 2017,7:30 PM,Minnesota Timberwolves,125,Miami Heat,122,Box Score,OT,19600,,,Minnesota Timberwolves,Miami Heat
Mon Oct 30 2017,8:00 PM,Orlando Magic,115,New Orleans Pelicans,99,Box Score,,14004,,,Orlando Magic,New Orleans Pelicans
Mon Oct 30 2017,7:30 PM,Denver Nuggets,110,New York Knicks,116,Box Score,,19812,,,Denver Nuggets,New York Knicks
Mon Oct 30 2017,10:00 PM,Toronto Raptors,99,Portland Trail Blazers,85,Box Score,,18505,,,Toronto Raptors,Portland Trail Blazers
Mon Oct 30 2017,9:00 PM,Dallas Mavericks,89,Utah Jazz,104,Box Score,,16221,,,Dallas Mavericks,Utah Jazz
Tue Oct 31 2017,7:30 PM,Phoenix Suns,122,Brooklyn Nets,114,Box Score,,12936,,,Phoenix Suns,Brooklyn Nets
Tue Oct 31 2017,7:00 PM,Sacramento Kings,83,Indiana Pacers,101,Box Score,,12245,,,Sacramento Kings,Indiana Pacers
Tue Oct 31 2017,10:30 PM,Detroit Pistons,93,Los Angeles Lakers,113,Box Score,,17569,,,Detroit Pistons,Los Angeles Lakers
Tue Oct 31 2017,8:00 PM,Oklahoma City Thunder,110,Milwaukee Bucks,91,Box Score,,16713,,,Oklahoma City Thunder,Milwaukee Bucks
Wed Nov 1 2017,7:30 PM,Sacramento Kings,86,Boston Celtics,113,Box Score,,18624,,,Sacramento Kings,Boston Celtics
Wed Nov 1 2017,7:00 PM,Milwaukee Bucks,121,Charlotte Hornets,126,Box Score,,15655,,,Milwaukee Bucks,Charlotte Hornets
Wed Nov 1 2017,7:00 PM,Indiana Pacers,124,Cleveland Cavaliers,107,Box Score,,20562,,,Indiana Pacers,Cleveland Cavaliers
Wed Nov 1 2017,9:00 PM,Toronto Raptors,111,Denver Nuggets,129,Box Score,,14072,,,Toronto Raptors,Denver Nuggets
Wed Nov 1 2017,10:30 PM,Dallas Mavericks,98,Los Angeles Clippers,119,Box Score,,13487,,,Dallas Mavericks,Los Angeles Clippers
Wed Nov 1 2017,8:00 PM,Orlando Magic,101,Memphis Grizzlies,99,Box Score,,15434,,,Orlando Magic,Memphis Grizzlies
Wed Nov 1 2017,7:30 PM,Chicago Bulls,91,Miami Heat,97,Box Score,,19600,,,Chicago Bulls,Miami Heat
Wed Nov 1 2017,8:00 PM,Minnesota Timberwolves,104,New Orleans Pelicans,98,Box Score,,14788,,,Minnesota Timberwolves,New Orleans Pelicans
Wed Nov 1 2017,8:00 PM,Houston Rockets,119,New York Knicks,97,Box Score,,18320,,,Houston Rockets,New York Knicks
Wed Nov 1 2017,7:00 PM,Atlanta Hawks,109,Philadelphia 76ers,119,Box Score,,20549,,,Atlanta Hawks,Philadelphia 76ers
Wed Nov 1 2017,9:00 PM,Portland Trail Blazers,103,Utah Jazz,112,Box Score,OT,16685,,,Portland Trail Blazers,Utah Jazz
Wed Nov 1 2017,7:00 PM,Phoenix Suns,122,Washington Wizards,116,Box Score,,14790,,,Phoenix Suns,Washington Wizards
Thu Nov 2 2017,10:30 PM,Los Angeles Lakers,110,Portland Trail Blazers,113,Box Score,,19469,,,Los Angeles Lakers,Portland Trail Blazers
Thu Nov 2 2017,8:00 PM,Golden State Warriors,112,San Antonio Spurs,92,Box Score,,18418,,,Golden State Warriors,San Antonio Spurs
Fri Nov 3 2017,7:30 PM,Houston Rockets,119,Atlanta Hawks,104,Box Score,,14087,,,Houston Rockets,Atlanta Hawks
Fri Nov 3 2017,8:30 PM,New Orleans Pelicans,99,Dallas Mavericks,94,Box Score,,19894,,,New Orleans Pelicans,Dallas Mavericks
Fri Nov 3 2017,9:00 PM,Miami Heat,94,Denver Nuggets,95,Box Score,,15317,,,Miami Heat,Denver Nuggets
Fri Nov 3 2017,7:00 PM,Milwaukee Bucks,96,Detroit Pistons,105,Box Score,,17207,,,Milwaukee Bucks,Detroit Pistons
Fri Nov 3 2017,10:30 PM,Brooklyn Nets,112,Los Angeles Lakers,124,Box Score,,18997,,,Brooklyn Nets,Los Angeles Lakers
Fri Nov 3 2017,7:30 PM,Phoenix Suns,107,New York Knicks,120,Box Score,,19404,,,Phoenix Suns,New York Knicks
Fri Nov 3 2017,9:30 PM,Boston Celtics,101,Oklahoma City Thunder,94,Box Score,,18203,,,Boston Celtics,Oklahoma City Thunder
Fri Nov 3 2017,7:00 PM,Chicago Bulls,105,Orlando Magic,83,Box Score,,19171,,,Chicago Bulls,Orlando Magic
Fri Nov 3 2017,7:00 PM,Indiana Pacers,110,Philadelphia 76ers,121,Box Score,,20668,,,Indiana Pacers,Philadelphia 76ers
Fri Nov 3 2017,8:30 PM,Charlotte Hornets,101,San Antonio Spurs,108,Box Score,,18418,,,Charlotte Hornets,San Antonio Spurs
Fri Nov 3 2017,9:00 PM,Toronto Raptors,109,Utah Jazz,100,Box Score,,16258,,,Toronto Raptors,Utah Jazz
Fri Nov 3 2017,7:00 PM,Cleveland Cavaliers,130,Washington Wizards,122,Box Score,,20356,,,Cleveland Cavaliers,Washington Wizards
Sat Nov 4 2017,8:00 PM,New Orleans Pelicans,96,Chicago Bulls,90,Box Score,OT,21254,,,New Orleans Pelicans,Chicago Bulls
